250 10 75 800        
For Holesize 75
Number of sensor 800
4544.07256417151 3801.7159999986397 478.4696720415914
4167.160579500673 2740.8959999989056 195.4490707861376
4253.062181722623 3151.1139999985326 672.2899484038121
3965.033884030408 2792.6919999989104 626.5228199780373
4116.065067335099 2866.56999999861 379.2235415098516
4156.322563520568 3154.97599999905 238.5393236047975
4224.422494264388 3020.3719999990144 384.7835981360188
4299.69972864778 3246.097999998812 594.156877819786
4301.150845590187 3272.6079999993317 737.8592953056201
4093.4704790763753 3299.607999998654 285.28896615694345
number of times hole fully covered 0
average area reduced = 25.68011029190971
average distance traveled = 459.2583113742597
